"experiment","date","datetime","unit","bti","food","treatment","n","jar","reading","initial","alive","survival","dead","exitus"
2,2025-05-22,2025-05-22 10:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",2,8,8,1,0,0
2,2025-05-22,2025-05-22 10:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",2,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 10:05:00,10,"No","High","No_High",1,"2_10_C_H_1",2,8,8,1,0,0
2,2025-05-22,2025-05-22 10:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",2,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 10:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",2,8,8,1,0,0
2,2025-05-22,2025-05-22 10:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",2,8,8,1,0,0
2,2025-05-22,2025-05-22 10:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",2,8,4,0.5,4,0.5
2,2025-05-22,2025-05-22 10:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",2,8,4,0.5,4,0.5
2,2025-05-22,2025-05-22 10:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",2,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 10:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",2,8,8,1,0,0
2,2025-05-22,2025-05-22 10:05:00,18,"No","High","No_High",2,"2_18_C_H_2",2,8,8,1,0,0
2,2025-05-22,2025-05-22 11:05:00,1,"Yes","Low","Yes_Low",1,"2_1_H_L_1",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,2,"Yes","High","Yes_High",1,"2_2_H_H_1",3,8,8,1,0,0
2,2025-05-22,2025-05-22 11:05:00,3,"Yes","High","Yes_High",2,"2_3_H_H_2",3,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 11:05:00,4,"Yes","Low","Yes_Low",2,"2_4_H_L_2",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,5,"No","Low","No_Low",1,"2_5_C_L_1",3,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 11:05:00,6,"Yes","High","Yes_High",3,"2_6_H_H_3",3,8,8,1,0,0
2,2025-05-22,2025-05-22 11:05:00,7,"Yes","Low","Yes_Low",3,"2_7_H_L_3",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",3,8,4,0.5,4,0.5
2,2025-05-22,2025-05-22 11:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",3,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 11:05:00,10,"No","High","No_High",1,"2_10_C_H_1",3,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 11:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",3,8,8,1,0,0
2,2025-05-22,2025-05-22 11:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",3,8,8,1,0,0
2,2025-05-22,2025-05-22 11:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",3,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 11:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",3,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 11:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",3,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 11:05:00,18,"No","High","No_High",2,"2_18_C_H_2",3,8,8,1,0,0
2,2025-05-22,2025-05-22 12:05:00,1,"Yes","Low","Yes_Low",1,"2_1_H_L_1",4,8,2,0.25,6,0.75
2,2025-05-22,2025-05-22 12:05:00,2,"Yes","High","Yes_High",1,"2_2_H_H_1",4,8,8,1,0,0
2,2025-05-22,2025-05-22 12:05:00,3,"Yes","High","Yes_High",2,"2_3_H_H_2",4,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 12:05:00,4,"Yes","Low","Yes_Low",2,"2_4_H_L_2",4,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 12:05:00,5,"No","Low","No_Low",1,"2_5_C_L_1",4,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 12:05:00,6,"Yes","High","Yes_High",3,"2_6_H_H_3",4,8,8,1,0,0
2,2025-05-22,2025-05-22 12:05:00,7,"Yes","Low","Yes_Low",3,"2_7_H_L_3",4,8,0,0,8,1
2,2025-05-22,2025-05-22 12:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",4,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 12:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",4,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 12:05:00,10,"No","High","No_High",1,"2_10_C_H_1",4,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 12:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",4,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 12:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",4,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 12:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",4,8,8,1,0,0
2,2025-05-22,2025-05-22 12:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",4,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 12:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",4,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 12:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",4,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 12:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",4,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 12:05:00,18,"No","High","No_High",2,"2_18_C_H_2",4,8,8,1,0,0
2,2025-05-22,2025-05-22 13:05:00,1,"Yes","Low","Yes_Low",1,"2_1_H_L_1",5,8,0,0,8,1
2,2025-05-22,2025-05-22 13:05:00,2,"Yes","High","Yes_High",1,"2_2_H_H_1",5,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 13:05:00,3,"Yes","High","Yes_High",2,"2_3_H_H_2",5,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 13:05:00,4,"Yes","Low","Yes_Low",2,"2_4_H_L_2",5,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 13:05:00,5,"No","Low","No_Low",1,"2_5_C_L_1",5,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 13:05:00,6,"Yes","High","Yes_High",3,"2_6_H_H_3",5,8,8,1,0,0
2,2025-05-22,2025-05-22 13:05:00,7,"Yes","Low","Yes_Low",3,"2_7_H_L_3",5,8,0,0,8,1
2,2025-05-22,2025-05-22 13:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",5,8,0,0,8,1
2,2025-05-22,2025-05-22 13:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",5,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 13:05:00,10,"No","High","No_High",1,"2_10_C_H_1",5,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 13:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",5,8,0,0,8,1
2,2025-05-22,2025-05-22 13:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",5,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 13:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",5,8,8,1,0,0
2,2025-05-22,2025-05-22 13:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",5,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 13:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",5,8,0,0,8,1
2,2025-05-22,2025-05-22 13:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",5,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 13:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",5,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 13:05:00,18,"No","High","No_High",2,"2_18_C_H_2",5,8,8,1,0,0
2,2025-05-22,2025-05-22 14:05:00,1,"Yes","Low","Yes_Low",1,"2_1_H_L_1",6,8,0,0,8,1
2,2025-05-22,2025-05-22 14:05:00,2,"Yes","High","Yes_High",1,"2_2_H_H_1",6,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 14:05:00,3,"Yes","High","Yes_High",2,"2_3_H_H_2",6,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 14:05:00,4,"Yes","Low","Yes_Low",2,"2_4_H_L_2",6,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 14:05:00,5,"No","Low","No_Low",1,"2_5_C_L_1",6,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 14:05:00,6,"Yes","High","Yes_High",3,"2_6_H_H_3",6,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 14:05:00,7,"Yes","Low","Yes_Low",3,"2_7_H_L_3",6,8,0,0,8,1
2,2025-05-22,2025-05-22 14:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",6,8,0,0,8,1
2,2025-05-22,2025-05-22 14:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",6,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 14:05:00,10,"No","High","No_High",1,"2_10_C_H_1",6,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 14:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",6,8,0,0,8,1
2,2025-05-22,2025-05-22 14:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",6,8,5,0.625,3,0.375
2,2025-05-22,2025-05-22 14:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",6,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 14:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",6,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 14:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",6,8,0,0,8,1
2,2025-05-22,2025-05-22 14:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",6,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 14:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",6,8,5,0.625,3,0.375
2,2025-05-22,2025-05-22 14:05:00,18,"No","High","No_High",2,"2_18_C_H_2",6,8,8,1,0,0
2,2025-05-22,2025-05-22 15:05:00,1,"Yes","Low","Yes_Low",1,"2_1_H_L_1",7,8,0,0,8,1
2,2025-05-22,2025-05-22 15:05:00,2,"Yes","High","Yes_High",1,"2_2_H_H_1",7,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 15:05:00,3,"Yes","High","Yes_High",2,"2_3_H_H_2",7,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 15:05:00,4,"Yes","Low","Yes_Low",2,"2_4_H_L_2",7,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 15:05:00,5,"No","Low","No_Low",1,"2_5_C_L_1",7,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 15:05:00,6,"Yes","High","Yes_High",3,"2_6_H_H_3",7,8,5,0.625,3,0.375
2,2025-05-22,2025-05-22 15:05:00,7,"Yes","Low","Yes_Low",3,"2_7_H_L_3",7,8,0,0,8,1
2,2025-05-22,2025-05-22 15:05:00,8,"Yes","Low","Yes_Low",4,"2_8_H_L_4",7,8,0,0,8,1
2,2025-05-22,2025-05-22 15:05:00,9,"Yes","High","Yes_High",4,"2_9_H_H_4",7,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 15:05:00,10,"No","High","No_High",1,"2_10_C_H_1",7,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 15:05:00,11,"Yes","Low","Yes_Low",5,"2_11_H_L_5",7,8,0,0,8,1
2,2025-05-22,2025-05-22 15:05:00,12,"Yes","High","Yes_High",5,"2_12_H_H_5",7,8,4,0.5,4,0.5
2,2025-05-22,2025-05-22 15:05:00,13,"No","Low","No_Low",2,"2_13_C_L_2",7,8,7,0.875,1,0.125
2,2025-05-22,2025-05-22 15:05:00,14,"Yes","Low","Yes_Low",6,"2_14_H_L_6",7,8,1,0.125,7,0.875
2,2025-05-22,2025-05-22 15:05:00,15,"Yes","Low","Yes_Low",7,"2_15_H_L_7",7,8,0,0,8,1
2,2025-05-22,2025-05-22 15:05:00,16,"Yes","High","Yes_High",6,"2_16_H_H_6",7,8,6,0.75,2,0.25
2,2025-05-22,2025-05-22 15:05:00,17,"Yes","High","Yes_High",7,"2_17_H_H_7",7,8,4,0.5,4,0.5
2,2025-05-22,2025-05-22 15:05:00,18,"No","High","No_High",2,"2_18_C_H_2",7,8,8,1,0,0
3,2025-07-23,2025-07-23 09:10:00,1,"Yes","Low","Yes_Low",1,"3_1_H_L_1",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,2,"Yes","High","Yes_High",1,"3_2_H_H_1",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,3,"Yes","High","Yes_High",2,"3_3_H_H_2",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,4,"Yes","Low","Yes_Low",2,"3_4_H_L_2",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,5,"No","Low","No_Low",1,"3_5_C_L_1",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,6,"Yes","High","Yes_High",3,"3_6_H_H_3",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,7,"Yes","Low","Yes_Low",3,"3_7_H_L_3",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,8,"Yes","Low","Yes_Low",4,"3_8_H_L_4",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,9,"Yes","High","Yes_High",4,"3_9_H_H_4",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,10,"No","High","No_High",1,"3_10_C_H_1",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,11,"Yes","Low","Yes_Low",5,"3_11_H_L_5",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,12,"Yes","High","Yes_High",5,"3_12_H_H_5",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,13,"No","Low","No_Low",2,"3_13_C_L_2",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,14,"Yes","Low","Yes_Low",6,"3_14_H_L_6",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,15,"Yes","Low","Yes_Low",7,"3_15_H_L_7",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,16,"Yes","High","Yes_High",6,"3_16_H_H_6",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,17,"Yes","High","Yes_High",7,"3_17_H_H_7",0,10,10,1,0,0
3,2025-07-23,2025-07-23 09:10:00,18,"No","High","No_High",2,"3_18_C_H_2",0,10,10,1,0,0
