Contrast,OddsRatio_95CI,p_value,Signif
No Low / Yes Low,8.80e+03 (1.07e+03-7.21e+04),<0.001,***
No Low / No High,1.68 (0.18-15.47),0.933, 
No Low / Yes High,10.34 (1.68-63.52),0.005,**
Yes Low / No High,1.91e-04 (2.80e-05-1.30e-03),<0.001,***
Yes Low / Yes High,1.18e-03 (2.89e-04-4.77e-03),<0.001,***
No High / Yes High,6.17 (1.22-31.05),0.02,*
