Comparison (B−A),LT50 diff (h),95% CI (h),p
Yes × Low − No × Low,-10.8,[NA–NA],0.017
No × High − No × Low,1.3,[NA–NA],0.834
Yes × High − No × Low,-5.4,[NA–NA],0.019
No × High − Yes × Low,12.0,[NA–NA],0.026
Yes × High − Yes × Low,5.3,[NA–NA],<0.001
Yes × High − No × High,-6.7,[NA–NA],0.029
