Food,Bti,"LT50 (hours, 95% CI)"
Low,No,13.06 (9.04–35.22)
Low,Yes,2.18 (1.80–2.54)
High,No,14.43 (8.87–46.58)
High,Yes,7.52 (6.62–8.52)
